subject,phrase,kind,years,year_list,papers,marks,example
Physics,magnetic field,content_topic,4,"2023,2024,2025,2026",11,73,(H$) (i) (1) ì`{VH$aU n¡Q>Z© Am¡a {ddV©Z n¡Q>Z© Ho$ ~rM Xmo AÝVa {b{IE & (2) `§J Ho$ {Û{Par à`moJ _| {H$Ýht Xmo H$maH$m| Ho$ Zm_ {b{IE {OZ na q\ 55/1/1 Page 20 of 27 32. (a) (i) St
Physics,parallel plate capacitor,content_topic,3,"2024,2025,2026",10,55,A parallel plate capacitor is charged by a battery. The battery is then disconnected and the plates of the charged capacitor are then moved farther apart. In the process :
Physics,refractive index,content_topic,3,"2024,2025,2026",8,54,"Assertion (A) : In optical fibres, the refractive index of cladding must be lesser than that of the core. Reason (R) : Total internal reflection takes place only when the ray passe"
Physics,field due,content_topic,3,"2024,2025,2026",7,35,(a) (i) Define electric field. Write its SI units. Derive an expression for electric field due to a point charge at a point. Why must the test charge be as small as possible ?
Physics,formed infinity,content_topic,3,"2024,2025,2026",7,34,(a) (i) What are the two main considerations for designing the objective and eyepiece lenses of an astronomical telescope ? Obtain the expression for magnifying power of the telesc
Physics,uniform magnetic,content_topic,3,"2024,2025,2026",6,32,"(a) (i) Discuss the motion of a charged particle of mass m and charge q in a uniform magnetic field B with initial velocity v (1) at an angle q with field direction, (2) perpendicu"
Political Science,united nations,content_topic,3,"2024,2025,2026",8,50,"^maV Am¡a MrZ Ho$ _Ü` {H$Ýht Xmo _V^oXm| H$m {díbofU H$s{OE, {OZHo$ H$maU 1962 _| g¡Ý` g§Kf© hþAm Wm & 2 13-59/3/2 10 12. Which one of the following is not an agency of the United "
Political Science,its economy,content_topic,3,"2022,2025,2026",5,34,(H$) MrZ Ûmam AnZr AW©ì`dñWm H$mo gwYmaZo hoVw CR>mE JE {H$Ýht VrZ H$X_m| H$mo COmJa H$s{OE & 3 2=6 AWdm (I) e{º$ Ho$ EH$ Ho$ÝÐ Ho$ ê$n _| `yamonr` g§K H$s {H$Ýht VrZ e{º$`m| H$mo 
Business Studies,factors affecting,stem_formula,3,"2023,2024,2026",10,50,Explain the following as factors affecting the working capital requirements of a business : 4
Economics,valid arguments,stem_formula,3,"2024,2025,2026",15,64,"(a) (i) “As an economy grows, the number of employed persons in an economy also increases; however, since 1991 India has come up as an exception to this.’’ Do you agree with the gi"
Economics,government india,stem_formula,3,"2024,2025,2026",10,41,“The Reserve Bank of India (RBI) performs the same function for the government as the commercial banks perform for the general public.” Discuss briefly any two such functions perfo
Geography,main features,stem_formula,3,"2024,2025,2026",7,35,(a) Explain the main features of ‘Primitive Subsistence Agriculture’ in the world. 5 OR
Geography,main characteristics,stem_formula,3,"2023,2024,2025",6,30,(H$) `yamon Am¡a ê$g _| aob_mJm] Ho$ {dH$mg H$m dU©Z H$s{OE & 3+2=5 AWdm (I) aob_mJm] H$s Anojm Ob n[adhZ Ho$ bm^m| H$m dU©Z H$s{OE & 5 64/3/3 14 SECTION C Questions number 20 to 2
Geography,factors affecting,stem_formula,3,"2024,2025,2026",6,30,^maV _| gmPm g§n{Îm g§gmYZ H$s {H$Ýht nm±M Cn`mo{JVmAm| H$m {díbofU H$s{OE & 5 64/3/2-13 18 SECTION D Questions number 24 to 28 are Long Answer Type Questions. 5 5=25 24. (a) Expla
Geography,factors influencing,stem_formula,3,"2024,2025,2026",4,20,Analyse any five factors influencing the location of industries in the world. 5
Mathematics,general solution,stem_formula,3,"2023,2025,2026",4,24,"{gÕ H$s{OE {H$ \$bZ f : [0, ) [ 5, ) Omo {H$ f(x) = 4x2 + 4x 5 Ûmam n[a^m{fV h¡, EH¡$H$s VWm AmÀN>mXH$ XmoZm| h¡ & 65/3/2 JJJJ Page 16 30. (a) Find the general solution of the diff"
Physics,derive expression,stem_formula,3,"2024,2025,2026",8,55,(a) (i) Define electric field. Write its SI units. Derive an expression for electric field due to a point charge at a point. Why must the test charge be as small as possible ?
Physics,obtain expression,stem_formula,3,"2023,2024,2025",7,35,(H$) (i) (1) ì`{VH$aU n¡Q>Z© Am¡a {ddV©Z n¡Q>Z© Ho$ ~rM Xmo AÝVa {b{IE & (2) `§J Ho$ {Û{Par à`moJ _| {H$Ýht Xmo H$maH$m| Ho$ Zm_ {b{IE {OZ na q\ 55/1/1 Page 20 of 27 32. (a) (i) St
Political Science,steps taken,stem_formula,3,"2022,2024,2026",4,28,(H$) MrZ Ûmam AnZr AW©ì`dñWm H$mo gwYmaZo hoVw CR>mE JE {H$Ýht VrZ H$X_m| H$mo COmJa H$s{OE & 3 2=6 AWdm (I) e{º$ Ho$ EH$ Ho$ÝÐ Ho$ ê$n _| `yamonr` g§K H$s {H$Ýht VrZ e{º$`m| H$mo 
